,table_name,column_name,field_type,mode,description
28,country_summary,source_of_most_recent_income_and_expenditure_data,STRING,NULLABLE,Source of most recent income and expenditure data shows household surveys that collect income and expenditure data. Names and detailed information on household surveys can be found on the website of the International Household Survey Network (www.surveynetwork.org). Core Welfare Indicator Questionnaire Surveys (CWIQ) developed by the World Bank measure changes in key social indicators for different population groups—specifically indicators of access utilization and satisfaction with core social and economic services. Expenditure survey/budget surveys (ES/BS) collect detailed information on household consumption as well as on general demographic social and economic characteristics. Integrated household surveys (IHS) collect detailed information on a wide variety of topics including health education economic activities housing and utilities.
29,country_summary,vital_registration_complete,STRING,NULLABLE,Vital registration complete identifies countries that report at least 90 percent complete registries of vital (birth and death) statistics to the United Nations Statistics Division and are reported in its Population and Vital Statistics Reports. Countries with complete vital statistics registries may have more accurate and more timely demographic indicators than other countries.
30,country_summary,latest_agricultural_census,STRING,NULLABLE,Latest agricultural census shows the most recent year in which an agricultural census was conducted or planned to be conducted as reported to the Food and Agriculture Organization.
31,country_summary,latest_industrial_data,STRING,NULLABLE,Latest industrial data show the most recent year for which manufacturing value added data at the three-digit level of the International Standard Industrial Classification (revision 2 or 3) are available in the United Nations Industrial Development Organization database.
32,country_summary,latest_trade_data,STRING,NULLABLE,Latest trade data show the most recent year for which structure of merchandise trade data from the United Nations Statistics Division’s Commodity Trade (Comtrade) database are available.
33,footnotes,country_code,STRING,NULLABLE,
34,footnotes,series_code,STRING,NULLABLE,
35,footnotes,year,STRING,NULLABLE,
36,footnotes,description,STRING,NULLABLE,
37,indicators_data,country_name,STRING,NULLABLE,
38,indicators_data,country_code,STRING,NULLABLE,
39,indicators_data,indicator_name,STRING,NULLABLE,
40,indicators_data,indicator_code,STRING,NULLABLE,
41,indicators_data,value,FLOAT,NULLABLE,
42,indicators_data,year,INTEGER,NULLABLE,
43,series_summary,series_code,STRING,NULLABLE,A number or a sequence of related statistical units arranged or occurring in temporal spatial or other order or succession. WDI carries mostly time series.
44,series_summary,topic,STRING,NULLABLE,The matter dealt with in the context discourse or subject related to the series.
45,series_summary,indicator_name,STRING,NULLABLE,Given name of a series.
46,series_summary,short_definition,STRING,NULLABLE,Short statement of the exact meaning of a series.
47,series_summary,long_definition,STRING,NULLABLE,Extended statement of the exact meaning of a series.
48,series_summary,unit_of_measure,STRING,NULLABLE,A quantity used as a standard of measurement. Example: Units of time are second minute hour day week month year and decade.
49,series_summary,periodicity,STRING,NULLABLE,Applies to series recurring at regular intervals. Most of the time this term denotes that interval of recurrence.
50,series_summary,base_period,STRING,NULLABLE,Base period is the period of time for which data is used as the base of an index number or other ratio have been collected. This period is frequently one of a year but it may be as short as one day or as long as the average of a group of years.
51,series_summary,other_notes,STRING,NULLABLE,A brief record of facts topics or thoughts written down and used to contextualize the series definition values and other characteristics.
52,series_summary,aggregation_method,STRING,NULLABLE,Aggregation methods are types of calculations used to group attribute values into a metric for each dimension value. For example for each region one may retrieve the total value of country entries (the sum of the series value for countries belonging to the region).
53,series_summary,limitations_and_exceptions,STRING,NULLABLE,A limiting rule or circumstance that applies to usage of the series such as the scope of the survey collecting the data or missing years and countries.  It should also note when data are imputed or estimated
54,series_summary,notes_from_original_source,STRING,NULLABLE,A brief record of facts topics or thoughts written down and used to contextualize the series definition values and other characteristics.
55,series_summary,general_comments,STRING,NULLABLE,Other notes regarding the series which do not appear in Development relevance or Limitations or exceptions
56,series_summary,source,STRING,NULLABLE,A place person or organization from which the series comes or can be obtained.
57,series_summary,statistical_concept_and_methodology,STRING,NULLABLE,The abstract idea general statistical notions or a system of methods used to generate the series.
58,series_summary,development_relevance,STRING,NULLABLE,The relevance of a series refers to how the indicator’s data may be used to monitor particular aspects of development goals and programs for example the Sustainable Development Goals. The indicator may conclusively measure progress towards a particular objective or may act as a proxy or interpretation of a development aim.
59,series_summary,related_source_links,STRING,NULLABLE,Internet address of related source page tool or knowledge base.
60,series_summary,other_web_links,STRING,NULLABLE,Internet addresses of related pages tools or knowledge bases.
61,series_summary,related_indicators,STRING,NULLABLE,In general indicator that are of interest and related to the specific series.
62,series_summary,license_type,STRING,NULLABLE,Explains the rights conferred and restrictions imposed by the owner to the users of a series
63,series_time,series_code,STRING,NULLABLE,
64,series_time,year,INTEGER,NULLABLE,
65,series_time,description,STRING,NULLABLE,
